reaction_id	flux_value	classification	y_f	y_r	c_value
rxn00411_c	1.0	low	0.0	0.0	
rxn00321_c	0.0	moderate	0.0	0.0	0.274874271267583
rxn00786_c	-1.0	moderate	0.0	1.0	0.28005639423492434
rxn09197_c	0.0	low	1.0	0.0	
rxn00740_c	0.0	low	1.0	0.0	
rxn01100_c	4.0	high	1.0	0.0	1.0285566301751616
rxn00838_c	3.0	low	0.0	0.0	
rxn00102_c	0.0	low	1.0	0.0	
rxn00831_c	0.0	low	1.0	0.0	
rxn12634_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn00883_c	0.0	low	1.0	0.0	
rxn01255_c	3.0	moderate	1.0	0.0	0.4136569330936196
rxn10014_c	0.0	moderate	0.0	0.0	0.5276378124934911
rxn05406_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn10299_c	0.0	high	0.0	0.0	1.1015221062842442
OF_PROTEIN	0.0	low	1.0	0.0	
rxn00776_c	0.0	moderate	0.0	0.0	0.9085116285139189
rxn05251_c	0.0	low	1.0	0.0	
rxn03126_c	0.0	low	1.0	0.0	
rxn05485_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn00214_c	0.0	low	1.0	0.0	
rxn01211_c	0.0	low	1.0	0.0	
rxn00527_c	0.0	low	1.0	0.0	
rxn05322_c	0.0	low	1.0	0.0	
rxn05193_c	0.0	high	0.0	0.0	1.2004691145508488
rxn12848_c	234.63636	low	0.0	0.0	
rxn05151_c	0.0	moderate	0.0	0.0	0.5811005947650799
rxn00792_c	0.0	moderate	0.0	0.0	0.010780909556214292
rxn08804_c	0.0	low	1.0	0.0	
rxn08442_c	0.0	moderate	0.0	0.0	0.0561541555000128
rxn05430_c	0.0	low	1.0	0.0	
rxn01917_c	35.636364	high	1.0	0.0	1.2469438300143807
rxn10236_c	0.0	low	1.0	0.0	
rxn08527_c	-1.0	high	0.0	1.0	1.1127416630843
rxn05501_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn03253_c	1.0	moderate	1.0	0.0	0.5276378124934911
rxn01509_c	1.0	moderate	1.0	0.0	0.8527012222056509
rxn02011_c	0.0	high	0.0	0.0	1.050184631051418
rxn01548_c	2.0	moderate	1.0	0.0	0.9850810312058436
rxn08528_c	1.0	high	1.0	0.0	1.1127416630843
rxn01145_c	0.0	low	1.0	0.0	
rxn09176_c	0.0	low	1.0	0.0	
rxn09205_c	0.0	low	1.0	0.0	
rxn03269_c	0.0	low	1.0	0.0	
rxn03916_c	0.0	moderate	0.0	0.0	0.0650703694975807
rxn05364_c	0.0	low	1.0	0.0	
rxn09201_c	0.0	low	1.0	0.0	
rxn01669_c	2.0	low	0.0	0.0	
rxn00508_c	0.0	moderate	0.0	0.0	0.7969907151915673
rxn10122_c	0.0	low	1.0	0.0	
rxn00187_c	5.0	moderate	1.0	0.0	0.72725114796525
rxn00728_c	0.0	moderate	0.0	0.0	0.026747308925888554
rxn08850_c	0.0	low	1.0	0.0	
rxn00500_c	21.0	high	1.0	0.0	1.349696089588361
rxn05734_c	0.0	low	1.0	0.0	
rxn00772_c	4.0	low	0.0	0.0	
rxn08812_c	0.0	low	1.0	0.0	
rxn00006_c	-582.15909	high	0.0	1.0	1.4472658136980656
rxn02503_c	0.0	low	1.0	0.0	
rxn05338_c	0.0	low	1.0	0.0	
rxn03135_c	0.0	low	1.0	0.0	
rxn08310_c	0.0	low	1.0	0.0	
rxn00915_c	-1.0	moderate	0.0	1.0	0.3898677690208935
rxn02853_c	0.0	low	1.0	0.0	
rxn01967_c	0.0	moderate	0.0	0.0	0.9688097517326241
rxn01515_c	0.0	low	1.0	0.0	
rxn01927_c	0.0	low	1.0	0.0	
rxn10224_c	0.0	low	1.0	0.0	
rxn05337_c	0.0	low	1.0	0.0	
rxn00994_c	-1.0	moderate	0.0	1.0	0.5124047861592694
rxn01653_c	0.0	low	1.0	0.0	
rxn00474_c	0.0	low	1.0	0.0	
rxn03147_c	0.0	moderate	0.0	0.0	0.1566086577319195
rxn08073_c	0.0	low	1.0	0.0	
rxn03843_c	0.0	low	1.0	0.0	
rxn05376_c	0.0	low	1.0	0.0	
rxn01802_c	0.0	low	1.0	0.0	
rxn02317_c	0.0	low	1.0	0.0	
rxn01116_c	-1.0				
rxn02811_c	0.0	moderate	0.0	0.0	0.09908250855197298
rxn03062_c	0.0	moderate	0.0	0.0	0.028088487939953374
rxn10258_c	0.0	moderate	0.0	0.0	0.1463420475613635
