"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_name","GeneID","orgdb_symbol","orgdb_old_MXAN","orgdb_Name","iMat"
"1207","WP_011551674.1",4439.28556352669,0.116182164501406,0.326233564165207,0.356131855404585,0.721741821927963,0.81338976743112,"MXAN_RS07595",41359008,"MXAN_RS07595","MXAN_1563","alkyl hydroperoxide reductase",0
"1208","WP_011551675.1",57066.3967893959,1.86333026486872,0.252608919923979,7.37634389723639,1.62695441629084e-13,7.84009991794418e-12,"MXAN_RS07600",41359009,"MXAN_RS07600","MXAN_1564","peroxiredoxin",1
"1209","WP_011551676.1",884.468668249569,0.345892263386649,0.270524161505108,1.27860026055424,0.201037858182493,0.334543521544206,"MXAN_RS07605",41359010,"MXAN_RS07605","MXAN_1565","ATPase AAA",0
"1210","WP_011551677.1",429.602315601597,0.416231479618235,0.253417803587825,1.64247134070825,0.100492360800134,0.202958047559707,"MXAN_RS07610",41359011,"MXAN_RS07610","MXAN_1566","hypothetical protein",0
"1211","WP_011551678.1",177.987936228005,-0.0467980659973062,0.331486096537538,-0.141176557587557,0.887730464913257,0.929406051916933,"MXAN_RS07615",41359012,"MXAN_RS07615","MXAN_1567","urea amidolyase",0
"1212","WP_011551679.1",113.299866935692,-0.208197232156174,0.492344941483103,-0.422868632566868,0.672391109686553,0.778892066643363,"MXAN_RS07620",41359013,"MXAN_RS07620","MXAN_1568","allophanate hydrolase",0
"1213","WP_011551681.1",306.973156503857,0.0716985872165188,0.383199685200561,0.187105026401556,0.851578287257756,0.904892209328172,"MXAN_RS07630",41359015,"MXAN_RS07630","MXAN_1570","aminotransferase class V-fold PLP-dependent enzyme",0
"1214","WP_011551682.1",13147.5457131176,3.60882138476572,0.362912137051614,9.94406363502931,2.67679501276501e-23,5.95025626869797e-21,"MXAN_RS07635",41359016,"cysK","MXAN_1571","cysteine synthase A",1
"1215","WP_011551683.1",3294.84944235453,3.81412494134411,0.309926767057117,12.306536081284,8.35319440853753e-35,4.42783558994093e-32,"MXAN_RS07640",41359017,"MXAN_RS07640","MXAN_1572","serine acetyltransferase",1
"1216","WP_011551685.1",238.597512124892,0.471192069543178,0.292773754051753,1.60940679627958,0.107527420175767,0.212495397886782,"MXAN_RS07650",41359019,"MXAN_RS07650","MXAN_1574","competence protein TfoX",0
