reaction_id	flux_value	classification	y_f	y_r
rxn00872_c	-1.0	moderate		
rxn00832_c	0.0	low	1.0	0.0
rxn00360_c	0.0	low	1.0	0.0
rxn01106_c	1.0	moderate		
rxn10193_c	0.0	high	0.0	0.0
rxn12640_c	0.0	moderate		
rxn00690_c	0.0	moderate		
rxn00066_c	1.0	high	1.0	0.0
rxn10012_c	-237.14286	moderate		
rxn09450_c	0.0	low	1.0	0.0
rxn00938_c	0.0	low	1.0	0.0
rxn04938_c	504.85714	high	1.0	0.0
rxn05115_c	0.0	low	1.0	0.0
rxn00412_c	1.0	high	1.0	0.0
rxn01573_c	-1.1040813e-12	low	1.0	0.0
rxn00650_c	1.0	low	0.0	0.0
rxn03167_c	0.0	low	1.0	0.0
rxn00640_c	0.0	high	0.0	0.0
rxn01103_c	0.0	low	1.0	0.0
rxn00515_c	-2.0	high	0.0	1.0
rxn08846_c	0.0	low	1.0	0.0
rxn05397_c	0.0	low	1.0	0.0
rxn03005_c	0.0	low	1.0	0.0
rxn05012_c	0.0	high	0.0	0.0
rxn01353_c	1.0	high	1.0	0.0
rxn10235_c	0.0	low	1.0	0.0
rxn12633_c	0.0	moderate		
rxn00882_c	0.0	low	1.0	0.0
rxn03244_c	0.0	high	0.0	0.0
rxn00552_c	2.5	moderate		
rxn06723_c	0.0	moderate		
rxn00313_c	0.0	moderate		
rxn02949_c	0.0	low	1.0	0.0
rxn00735_c	0.0	moderate		
rxn00775_c	0.0	low	1.0	0.0
rxn02680_c	0.0	high	0.0	0.0
rxn05405_c	0.0	low	1.0	0.0
rxn00804_c	0.0	low	1.0	0.0
rxn00196_c	0.0			
rxn00547_c	0.0	high	0.0	0.0
rxn04750_c	0.0	high	0.0	0.0
rxn05619_c	0.0	high	0.0	0.0
rxn08020_c	0.0	low	1.0	0.0
rxn05325_c	0.0	low	1.0	0.0
rxn11040_c	0.0	moderate		
rxn05610_c	0.0	low	1.0	0.0
rxn08441_c	0.0	moderate		
rxn08803_c	0.0	low	1.0	0.0
rxn07879_c	0.0	moderate		
rxn02312_c	0.0	moderate		
rxn02895_c	0.0	low	1.0	0.0
rxn07295_c	0.0	low	1.0	0.0
rxn02934_c	0.0	low	1.0	0.0
